date,state,cfr,hospitals,hospitals_per_100k
2020-11-04,Kansas,1.16,169,5.805
2020-11-05,Kansas,1.15,169,5.805
2020-11-06,Kansas,1.18,169,5.805
2020-11-07,Kansas,1.17,169,5.805
2020-11-08,Kansas,1.17,169,5.805
2020-11-09,Kansas,1.12,169,5.805
2020-11-10,Kansas,1.12,169,5.805
2020-11-11,Kansas,1.09,169,5.805
2020-11-12,Kansas,1.09,169,5.805
2020-11-13,Kansas,1.07,169,5.805
2020-11-14,Kansas,1.07,169,5.805
2020-11-15,Kansas,1.07,169,5.805
2020-11-16,Kansas,1.02,169,5.805
2020-11-17,Kansas,1.01,169,5.805
2020-11-18,Kansas,1.01,169,5.805
2020-11-19,Kansas,1.01,169,5.805
2020-11-20,Kansas,1.03,169,5.805
2020-11-21,Kansas,1.03,169,5.805
2020-11-22,Kansas,1.03,169,5.805
2020-11-23,Kansas,1.01,169,5.805
2020-11-24,Kansas,1.0,169,5.805
2020-11-25,Kansas,1.0,169,5.805
2020-11-26,Kansas,1.0,169,5.805
2020-11-27,Kansas,0.98,169,5.805
2020-11-28,Kansas,0.98,169,5.805
2020-11-29,Kansas,0.98,169,5.805
2020-11-30,Kansas,0.97,169,5.805
2020-12-01,Kansas,0.97,169,5.805
2020-12-02,Kansas,1.02,169,5.805
2020-12-03,Kansas,1.01,169,5.805
2020-12-04,Kansas,1.04,169,5.805
2020-12-05,Kansas,1.04,169,5.805
2020-12-06,Kansas,1.04,169,5.805
2020-12-07,Kansas,1.05,169,5.805
2020-12-08,Kansas,1.04,169,5.805
2020-12-09,Kansas,1.06,169,5.805
2020-12-10,Kansas,1.06,169,5.805
2020-12-11,Kansas,1.1,169,5.805
2020-12-12,Kansas,1.1,169,5.805
2020-12-13,Kansas,1.1,169,5.805
2020-12-14,Kansas,1.09,169,5.805
2020-12-15,Kansas,1.09,169,5.805
2020-12-16,Kansas,1.14,169,5.805
2020-12-17,Kansas,1.14,169,5.805
2020-12-18,Kansas,1.15,169,5.805
2020-12-19,Kansas,1.15,169,5.805
2020-12-20,Kansas,1.15,169,5.805
2020-12-21,Kansas,1.18,169,5.805
2020-12-22,Kansas,1.18,169,5.805
2020-12-23,Kansas,1.18,169,5.805
2020-12-24,Kansas,1.18,169,5.805
2020-12-25,Kansas,1.18,169,5.805
2020-12-26,Kansas,1.18,169,5.805
2020-12-27,Kansas,1.18,169,5.805
2020-12-28,Kansas,1.16,169,5.805
2020-12-29,Kansas,1.16,169,5.805
2020-12-30,Kansas,1.22,169,5.805
2020-12-31,Kansas,1.22,169,5.805
2021-01-01,Kansas,1.25,169,5.805
2021-01-02,Kansas,1.25,169,5.805
2021-01-03,Kansas,1.25,169,5.805
2021-01-04,Kansas,1.24,169,5.805
2021-01-05,Kansas,1.23,169,5.805
2021-01-06,Kansas,1.26,169,5.805
2021-01-07,Kansas,1.26,169,5.805
2021-01-08,Kansas,1.28,169,5.805
